name,longitude,latitude,countryCode,stateProvince,prov,year,key
Lycorma delicatula,127.091763,37.393267,KR,Gyeonggi-do,gbif,2023,4429532488
Lycorma delicatula,129.235733,35.582847,KR,Ulsan,gbif,2019,5068221122
Lycorma delicatula,128.361878,35.218091,KR,Gyeongnam,gbif,2019,5068221232
Lycorma delicatula,128.361874,35.218074,KR,Gyeongnam,gbif,2019,5068221255
Lycorma delicatula,126.871111,37.570833,KR,seoul,gbif,2019,5068221257
Lycorma delicatula,128.397688,38.447028,KR,Gangwon,gbif,2019,5068221262
Lycorma delicatula,127.084278,37.628234,KR,seoul,gbif,2019,5068221252
Lycorma delicatula,128.402375,38.55785,KR,Gangwon,gbif,2019,5068221265
Lycorma delicatula,127.000833,37.640833,KR,seoul,gbif,2019,5068221270
Lycorma delicatula,126.945253,37.610895,KR,seoul,gbif,2019,5068221120
Lycorma delicatula,127.003292,37.678014,KR,seoul,gbif,2019,5068221246
Lycorma delicatula,126.759722,37.673333,KR,game,gbif,2019,5068221251
Lycorma delicatula,126.787263,37.775612,KR,game,gbif,2019,5068221258
Lycorma delicatula,126.699211,37.773884,KR,game,gbif,2019,5068221261
Lycorma delicatula,127.394212,35.409539,KR,jeonbuk,gbif,2019,5068221267
Lycorma delicatula,127.082684,37.547056,KR,seoul,gbif,2019,5068221274
Lycorma delicatula,128.377228,38.587272,KR,Gangwon-do,gbif,2019,5068221247
Lycorma delicatula,127.106667,35.834722,KR,jeonbuk,gbif,2019,5068221266
Lycorma delicatula,126.833611,37.590556,KR,game,gbif,2019,5068221273
Lycorma delicatula,-78.262581,39.204556,US,Virginia,gbif,2018,2236580996
Lycorma delicatula,-78.262581,39.204556,US,Virginia,gbif,2018,2236580940
Lycorma delicatula,-75.669,40.425,US,Pennsylvania,gbif,2016,4154124371
Lycorma delicatula,-75.7417,40.4264,US,Pennsylvania,gbif,2017,4154121372
Lycorma delicatula,-75.669,40.425,US,Pennsylvania,gbif,2016,4154123370
Lycorma delicatula,-75.7417,40.4264,US,Pennsylvania,gbif,2017,4154126374
Lycorma delicatula,-75.7417,40.4264,US,Pennsylvania,gbif,2017,4154120370
Lycorma delicatula,-75.7417,40.4264,US,Pennsylvania,gbif,2017,4154122367
Lycorma delicatula,-75.7417,40.4264,US,Pennsylvania,gbif,2017,4154127374
Lycorma delicatula,-73.8307,41.10464,US,New York,gbif,2022,6368212384
Lycorma delicatula,-75.6728,40.4139,US,Pennsylvania,gbif,2014,4912716200
Lycorma delicatula,-73.85155,40.746708,US,,gbif,2022,4915518230
Lycorma delicatula,-75.6728,40.4139,US,Pennsylvania,gbif,2014,4912764003
Lycorma delicatula,-75.6728,40.4139,US,Pennsylvania,gbif,2014,4916003555
Lycorma delicatula,-75.91,40.34,US,,gbif,2019,6196086753
Lycorma delicatula,-75.67545,40.40997,US,Pennsylvania,gbif,2015,3874769465
Lycorma delicatula,-75.67545,40.40997,US,Pennsylvania,gbif,2015,3874760592
Lycorma delicatula,-75.67545,40.40997,US,Pennsylvania,gbif,2015,3874775168
